ID,rock_type
TEST_00256,Granite
TEST_00257,Granite
TEST_00258,Granite
TEST_00259,Granite
TEST_00260,Granite
TEST_00261,Granite
TEST_00262,Granite
TEST_00263,Granite
TEST_00264,Granite
TEST_00265,Granite
TEST_00266,Granite
TEST_00267,Granite
TEST_00268,Granite
TEST_00269,Granite
TEST_00270,Granite
TEST_00271,Granite
TEST_00272,Granite
TEST_00273,Granite
TEST_00274,Granite
TEST_00275,Granite
TEST_00276,Granite
TEST_00277,Granite
TEST_00278,Granite
TEST_00279,Granite
TEST_00280,Granite
TEST_00281,Granite
TEST_00282,Granite
TEST_00283,Granite
TEST_00284,Granite
TEST_00285,Granite
TEST_00286,Granite
TEST_00287,Granite
TEST_00288,Granite
TEST_00289,Granite
TEST_00290,Granite
TEST_00291,Granite
TEST_00292,Granite
TEST_00293,Granite
TEST_00294,Granite
TEST_00295,Granite
TEST_00296,Granite
TEST_00297,Granite
TEST_00298,Gneiss
TEST_00299,Granite
TEST_00300,Granite
TEST_00301,Granite
TEST_00302,Granite
TEST_00303,Granite
TEST_00304,Granite
TEST_00305,Granite
TEST_00306,Granite
TEST_00307,Granite
TEST_00308,Granite
TEST_00309,Granite
TEST_00310,Granite
TEST_00311,Granite
TEST_00312,Granite
TEST_00313,Granite
TEST_00314,Granite
TEST_00315,Granite
TEST_00316,Granite
TEST_00317,Granite
TEST_00318,Granite
TEST_00319,Granite
TEST_00320,Granite
TEST_00321,Granite
TEST_00322,Granite
TEST_00323,Granite
TEST_00324,Granite
TEST_00325,Granite
TEST_00326,Granite
TEST_00327,Granite
TEST_00328,Granite
TEST_00329,Granite
TEST_00330,Granite
TEST_00331,Granite
TEST_00332,Granite
TEST_00333,Granite
TEST_00334,Granite
TEST_00335,Granite
TEST_00336,Granite
TEST_00337,Granite
TEST_00338,Granite
TEST_00339,Granite
TEST_00340,Granite
TEST_00341,Granite
TEST_00342,Granite
TEST_00343,Granite
TEST_00344,Granite
TEST_00345,Granite
TEST_00346,Granite
TEST_00347,Granite
TEST_00348,Granite
TEST_00349,Granite
TEST_00350,Granite
TEST_00351,Granite
TEST_00352,Granite
TEST_00353,Granite
TEST_00354,Weathered_Rock
TEST_00355,Granite
TEST_00356,Granite
TEST_00357,Granite
TEST_00358,Granite
TEST_00359,Granite
TEST_00360,Granite
TEST_00361,Granite
TEST_00362,Granite
TEST_00363,Granite
TEST_00364,Granite
TEST_00365,Granite
TEST_00366,Granite
TEST_00367,Granite
TEST_00368,Granite
TEST_00369,Granite
TEST_00370,Granite
TEST_00371,Granite
TEST_00372,Granite
TEST_00373,Granite
TEST_00374,Granite
TEST_00375,Granite
TEST_00376,Granite
TEST_00377,Granite
TEST_00378,Granite
TEST_00379,Granite
TEST_00380,Granite
TEST_00381,Granite
TEST_00382,Granite
TEST_00383,Granite
TEST_00384,Granite
TEST_00385,Granite
TEST_00386,Granite
TEST_00387,Granite
TEST_00388,Granite
TEST_00389,Granite
TEST_00390,Granite
TEST_00391,Granite
TEST_00392,Granite
TEST_00393,Granite
TEST_00394,Granite
TEST_00395,Granite
TEST_00396,Granite
TEST_00397,Granite
TEST_00398,Granite
TEST_00399,Granite
TEST_00400,Granite
TEST_00401,Granite
TEST_00402,Granite
TEST_00403,Granite
TEST_00404,Granite
TEST_00405,Granite
TEST_00406,Granite
TEST_00407,Granite
TEST_00408,Granite
TEST_00409,Weathered_Rock
TEST_00410,Granite
TEST_00411,Granite
TEST_00412,Granite
TEST_00413,Granite
TEST_00414,Granite
TEST_00415,Granite
TEST_00416,Granite
TEST_00417,Granite
TEST_00418,Granite
TEST_00419,Granite
TEST_00420,Granite
TEST_00421,Granite
TEST_00422,Granite
TEST_00423,Granite
TEST_00424,Granite
TEST_00425,Granite
TEST_00426,Granite
TEST_00427,Granite
TEST_00428,Granite
TEST_00429,Granite
TEST_00430,Granite
TEST_00431,Granite
TEST_00432,Granite
TEST_00433,Granite
TEST_00434,Granite
TEST_00435,Granite
TEST_00436,Granite
TEST_00437,Granite
TEST_00438,Granite
TEST_00439,Granite
TEST_00440,Granite
TEST_00441,Granite
TEST_00442,Granite
TEST_00443,Granite
TEST_00444,Granite
TEST_00445,Granite
TEST_00446,Granite
TEST_00447,Granite
TEST_00448,Granite
TEST_00449,Granite
TEST_00450,Granite
TEST_00451,Granite
TEST_00452,Granite
TEST_00453,Granite
TEST_00454,Granite
TEST_00455,Granite
TEST_00456,Granite
TEST_00457,Granite
TEST_00458,Granite
TEST_00459,Granite
TEST_00460,Granite
TEST_00461,Granite
TEST_00462,Granite
TEST_00463,Granite
TEST_00464,Granite
TEST_00465,Granite
TEST_00466,Granite
TEST_00467,Granite
TEST_00468,Granite
TEST_00469,Granite
TEST_00470,Granite
TEST_00471,Granite
TEST_00472,Granite
TEST_00473,Granite
TEST_00474,Granite
TEST_00475,Granite
TEST_00476,Granite
TEST_00477,Granite
TEST_00478,Granite
TEST_00479,Granite
TEST_00480,Granite
TEST_00481,Etc
TEST_00482,Granite
TEST_00483,Granite
TEST_00484,Granite
TEST_00485,Granite
TEST_00486,Granite
TEST_00487,Granite
TEST_00488,Granite
TEST_00489,Granite
TEST_00490,Granite
TEST_00491,Granite
TEST_00492,Granite
TEST_00493,Granite
TEST_00494,Granite
TEST_00495,Granite
TEST_00496,Granite
TEST_00497,Granite
TEST_00498,Granite
TEST_00499,Granite
TEST_00500,Granite
TEST_00501,Granite
TEST_00502,Granite
TEST_00503,Granite
TEST_00504,Granite
TEST_00505,Granite
TEST_00506,Granite
TEST_00507,Granite
TEST_00508,Granite
TEST_00509,Granite
TEST_00510,Granite
TEST_00511,Granite
TEST_00512,Granite
TEST_00513,Granite
TEST_00514,Granite
TEST_00515,Granite
TEST_00516,Granite
TEST_00517,Granite
TEST_00518,Granite
TEST_00519,Granite
TEST_00520,Granite
TEST_00521,Granite
TEST_00522,Granite
TEST_00523,Granite
TEST_00524,Granite
TEST_00525,Granite
TEST_00526,Granite
TEST_00527,Granite
TEST_00528,Granite
TEST_00529,Granite
TEST_00530,Granite
TEST_00531,Granite
TEST_00532,Granite
TEST_00533,Granite
TEST_00534,Granite
TEST_00535,Granite
TEST_00536,Granite
TEST_00537,Granite
TEST_00538,Granite
TEST_00539,Granite
TEST_00540,Granite
TEST_00541,Granite
TEST_00542,Granite
TEST_00543,Granite
TEST_00544,Granite
TEST_00545,Granite
TEST_00546,Granite
TEST_00547,Granite
TEST_00548,Granite
TEST_00549,Granite
TEST_00550,Granite
TEST_00551,Granite
TEST_00552,Granite
TEST_00553,Granite
TEST_00554,Granite
TEST_00555,Granite
TEST_00556,Granite
TEST_00557,Granite
TEST_00558,Granite
TEST_00559,Granite
TEST_00560,Granite
TEST_00561,Granite
TEST_00562,Granite
TEST_00563,Granite
TEST_00564,Mud_Sandstone
TEST_00565,Granite
TEST_00566,Granite
TEST_00567,Granite
TEST_00568,Granite
TEST_00569,Granite
TEST_00570,Granite
TEST_00571,Granite
TEST_00572,Granite
TEST_00573,Granite
TEST_00574,Granite
TEST_00575,Granite
TEST_00576,Granite
TEST_00577,Granite
TEST_00578,Granite
TEST_00579,Granite
TEST_00580,Granite
TEST_00581,Granite
TEST_00582,Granite
TEST_00583,Granite
TEST_00584,Weathered_Rock
TEST_00585,Granite
TEST_00586,Granite
TEST_00587,Granite
TEST_00588,Granite
TEST_00589,Granite
TEST_00590,Mud_Sandstone
TEST_00591,Granite
TEST_00592,Granite
TEST_00593,Granite
TEST_00594,Granite
TEST_00595,Granite
TEST_00596,Weathered_Rock
TEST_00597,Granite
TEST_00598,Granite
TEST_00599,Granite
TEST_00600,Granite
TEST_00601,Granite
TEST_00602,Granite
TEST_00603,Granite
TEST_00604,Granite
TEST_00605,Granite
TEST_00606,Granite
TEST_00607,Granite
TEST_00608,Granite
TEST_00609,Granite
TEST_00610,Granite
TEST_00611,Granite
TEST_00612,Granite
TEST_00613,Granite
TEST_00614,Granite
TEST_00615,Granite
TEST_00616,Granite
TEST_00617,Granite
TEST_00618,Granite
TEST_00619,Granite
TEST_00620,Granite
TEST_00621,Granite
TEST_00622,Granite
TEST_00623,Granite
TEST_00624,Granite
TEST_00625,Granite
TEST_00626,Granite
TEST_00627,Granite
TEST_00628,Granite
TEST_00629,Granite
TEST_00630,Granite
TEST_00631,Granite
TEST_00632,Weathered_Rock
TEST_00633,Granite
TEST_00634,Weathered_Rock
TEST_00635,Granite
TEST_00636,Granite
TEST_00637,Etc
TEST_00638,Granite
TEST_00639,Granite
TEST_00640,Granite
TEST_00641,Weathered_Rock
TEST_00642,Granite
TEST_00643,Granite
TEST_00644,Granite
TEST_00645,Granite
TEST_00646,Weathered_Rock
TEST_00647,Granite
TEST_00648,Granite
TEST_00649,Granite
TEST_00650,Granite
TEST_00651,Granite
TEST_00652,Granite
TEST_00653,Granite
TEST_00654,Granite
TEST_00655,Granite
TEST_00656,Granite
TEST_00657,Granite
TEST_00658,Granite
TEST_00659,Granite
TEST_00660,Granite
TEST_00661,Granite
TEST_00662,Granite
TEST_00663,Granite
TEST_00664,Granite
TEST_00665,Granite
TEST_00666,Granite
TEST_00667,Granite
TEST_00668,Granite
TEST_00669,Granite
TEST_00670,Granite
TEST_00671,Granite
TEST_00672,Granite
TEST_00673,Granite
TEST_00674,Granite
TEST_00675,Granite
TEST_00676,Granite
TEST_00677,Granite
TEST_00678,Granite
TEST_00679,Granite
TEST_00680,Granite
TEST_00681,Granite
TEST_00682,Granite
TEST_00683,Granite
TEST_00684,Granite
TEST_00685,Granite
TEST_00686,Granite
TEST_00687,Granite
TEST_00688,Granite
TEST_00689,Granite
TEST_00690,Mud_Sandstone
TEST_00691,Gneiss
TEST_00692,Weathered_Rock
TEST_00693,Granite
TEST_00694,Granite
TEST_00695,Granite
TEST_00696,Granite
TEST_00697,Granite
TEST_00698,Granite
TEST_00699,Granite
TEST_00700,Granite
TEST_00701,Granite
TEST_00702,Granite
TEST_00703,Granite
TEST_00704,Granite
TEST_00705,Granite
TEST_00706,Granite
TEST_00707,Granite
TEST_00708,Granite
TEST_00709,Granite
TEST_00710,Granite
TEST_00711,Granite
TEST_00712,Granite
TEST_00713,Granite
TEST_00714,Granite
TEST_00715,Granite
TEST_00716,Granite
TEST_00717,Weathered_Rock
TEST_00718,Weathered_Rock
TEST_00719,Granite
TEST_00720,Weathered_Rock
TEST_00721,Weathered_Rock
TEST_00722,Granite
TEST_00723,Granite
TEST_00724,Granite
TEST_00725,Mud_Sandstone
TEST_00726,Mud_Sandstone
TEST_00727,Granite
TEST_00728,Mud_Sandstone
TEST_00729,Andesite
TEST_00730,Granite
TEST_00731,Granite
TEST_00732,Granite
TEST_00733,Granite
TEST_00734,Granite
TEST_00735,Granite
TEST_00736,Granite
TEST_00737,Granite
TEST_00738,Granite
TEST_00739,Granite
TEST_00740,Granite
TEST_00741,Granite
TEST_00742,Granite
TEST_00743,Granite
TEST_00744,Weathered_Rock
TEST_00745,Granite
TEST_00746,Granite
TEST_00747,Granite
TEST_00748,Granite
TEST_00749,Granite
TEST_00750,Granite
TEST_00751,Granite
TEST_00752,Granite
TEST_00753,Granite
TEST_00754,Granite
TEST_00755,Granite
TEST_00756,Granite
TEST_00757,Granite
TEST_00758,Granite
TEST_00759,Granite
TEST_00760,Granite
TEST_00761,Granite
TEST_00762,Granite
TEST_00763,Granite
TEST_00764,Granite
TEST_00765,Granite
TEST_00766,Granite
TEST_00767,Granite
TEST_00768,Granite
TEST_00769,Granite
TEST_00770,Granite
TEST_00771,Granite
TEST_00772,Granite
TEST_00773,Granite
TEST_00774,Granite
TEST_00775,Granite
TEST_00776,Granite
TEST_00777,Granite
TEST_00778,Granite
TEST_00779,Granite
TEST_00780,Granite
TEST_00781,Granite
TEST_00782,Granite
TEST_00783,Granite
TEST_00784,Granite
TEST_00785,Granite
TEST_00786,Granite
TEST_00787,Granite
TEST_00788,Granite
TEST_00789,Granite
TEST_00790,Granite
TEST_00791,Granite
TEST_00792,Granite
TEST_00793,Granite
TEST_00794,Granite
TEST_00795,Granite
TEST_00796,Granite
TEST_00797,Granite
TEST_00798,Granite
TEST_00799,Granite
TEST_00800,Granite
TEST_00801,Granite
TEST_00802,Granite
TEST_00803,Granite
TEST_00804,Granite
TEST_00805,Granite
TEST_00806,Granite
TEST_00807,Weathered_Rock
TEST_00808,Granite
TEST_00809,Granite
TEST_00810,Granite
TEST_00811,Granite
TEST_00812,Granite
TEST_00813,Granite
TEST_00814,Granite
TEST_00815,Granite
TEST_00816,Granite
TEST_00817,Granite
TEST_00818,Granite
TEST_00819,Granite
TEST_00820,Granite
TEST_00821,Granite
TEST_00822,Granite
TEST_00823,Granite
TEST_00824,Granite
TEST_00825,Granite
TEST_00826,Granite
TEST_00827,Granite
TEST_00828,Granite
TEST_00829,Granite
TEST_00830,Granite
TEST_00831,Granite
TEST_00832,Granite
TEST_00833,Granite
TEST_00834,Granite
TEST_00835,Granite
TEST_00836,Granite
TEST_00837,Granite
TEST_00838,Granite
TEST_00839,Granite
TEST_00840,Granite
TEST_00841,Granite
TEST_00842,Granite
TEST_00843,Gneiss
TEST_00844,Granite
TEST_00845,Granite
TEST_00846,Granite
TEST_00847,Granite
TEST_00848,Granite
TEST_00849,Granite
TEST_00850,Granite
TEST_00851,Granite
TEST_00852,Granite
TEST_00853,Granite
TEST_00854,Granite
TEST_00855,Granite
TEST_00856,Granite
TEST_00857,Granite
TEST_00858,Granite
TEST_00859,Granite
TEST_00860,Granite
TEST_00861,Granite
TEST_00862,Granite
TEST_00863,Granite
TEST_00864,Granite
TEST_00865,Granite
TEST_00866,Granite
TEST_00867,Granite
TEST_00868,Granite
TEST_00869,Granite
TEST_00870,Granite
TEST_00871,Granite
TEST_00872,Granite
TEST_00873,Granite
TEST_00874,Granite
TEST_00875,Granite
TEST_00876,Granite
TEST_00877,Granite
TEST_00878,Weathered_Rock
TEST_00879,Granite
TEST_00880,Granite
TEST_00881,Granite
TEST_00882,Granite
TEST_00883,Granite
TEST_00884,Granite
TEST_00885,Granite
TEST_00886,Granite
TEST_00887,Granite
TEST_00888,Mud_Sandstone
TEST_00889,Granite
TEST_00890,Granite
TEST_00891,Granite
TEST_00892,Granite
TEST_00893,Gneiss
TEST_00894,Granite
TEST_00895,Granite
TEST_00896,Granite
TEST_00897,Granite
TEST_00898,Granite
TEST_00899,Mud_Sandstone
TEST_00900,Granite
TEST_00901,Granite
TEST_00902,Mud_Sandstone
TEST_00903,Granite
TEST_00904,Granite
TEST_00905,Granite
TEST_00906,Granite
TEST_00907,Granite
TEST_00908,Granite
TEST_00909,Mud_Sandstone
TEST_00910,Mud_Sandstone
TEST_00911,Gneiss
TEST_00912,Granite
TEST_00913,Granite
TEST_00914,Granite
TEST_00915,Granite
TEST_00916,Granite
TEST_00917,Granite
TEST_00918,Mud_Sandstone
TEST_00919,Granite
TEST_00920,Granite
TEST_00921,Granite
TEST_00922,Granite
TEST_00923,Granite
TEST_00924,Granite
TEST_00925,Granite
TEST_00926,Granite
TEST_00927,Granite
TEST_00928,Granite
TEST_00929,Gneiss
TEST_00930,Granite
TEST_00931,Granite
TEST_00932,Granite
TEST_00933,Granite
TEST_00934,Granite
TEST_00935,Granite
TEST_00936,Granite
TEST_00937,Granite
TEST_00938,Granite
TEST_00939,Granite
TEST_00940,Granite
TEST_00941,Granite
TEST_00942,Granite
TEST_00943,Granite
TEST_00944,Granite
TEST_00945,Mud_Sandstone
TEST_00946,Granite
TEST_00947,Granite
TEST_00948,Granite
TEST_00949,Granite
TEST_00950,Granite
TEST_00951,Granite
TEST_00952,Granite
TEST_00953,Granite
TEST_00954,Granite
TEST_00955,Granite
TEST_00956,Granite
TEST_00957,Granite
TEST_00958,Granite
TEST_00959,Gneiss
TEST_00960,Granite
TEST_00961,Granite
TEST_00962,Granite
TEST_00963,Granite
TEST_00964,Granite
TEST_00965,Granite
TEST_00966,Granite
TEST_00967,Granite
TEST_00968,Granite
TEST_00969,Granite
TEST_00970,Granite
TEST_00971,Granite
TEST_00972,Granite
TEST_00973,Granite
TEST_00974,Granite
TEST_00975,Granite
TEST_00976,Granite
TEST_00977,Granite
TEST_00978,Granite
TEST_00979,Mud_Sandstone
TEST_00980,Granite
TEST_00981,Granite
TEST_00982,Granite
TEST_00983,Granite
TEST_00984,Granite
TEST_00985,Granite
TEST_00986,Granite
TEST_00987,Granite
TEST_00988,Granite
TEST_00989,Granite
TEST_00990,Granite
TEST_00991,Granite
TEST_00992,Granite
TEST_00993,Granite
TEST_00994,Granite
TEST_00995,Granite
TEST_00996,Granite
TEST_00997,Granite
TEST_00998,Granite
TEST_00999,Granite
TEST_01000,Granite
TEST_01001,Granite
TEST_01002,Granite
TEST_01003,Granite
TEST_01004,Granite
TEST_01005,Granite
TEST_01006,Granite
TEST_01007,Granite
TEST_01008,Granite
TEST_01009,Granite
TEST_01010,Granite
TEST_01011,Granite
TEST_01012,Granite
TEST_01013,Granite
TEST_01014,Granite
TEST_01015,Granite
TEST_01016,Granite
TEST_01017,Granite
TEST_01018,Granite
TEST_01019,Granite
TEST_01020,Granite
TEST_01021,Granite
TEST_01022,Granite
TEST_01023,Granite
TEST_01024,Granite
TEST_01025,Granite
TEST_01026,Granite
TEST_01027,Granite
TEST_01028,Granite
TEST_01029,Granite
TEST_01030,Granite
TEST_01031,Granite
TEST_01032,Granite
TEST_01033,Gneiss
TEST_01034,Gneiss
TEST_01035,Granite
TEST_01036,Granite
TEST_01037,Granite
TEST_01038,Granite
TEST_01039,Granite
TEST_01040,Granite
TEST_01041,Granite
TEST_01042,Granite
TEST_01043,Granite
TEST_01044,Granite
TEST_01045,Granite
TEST_01046,Gneiss
TEST_01047,Granite
TEST_01048,Granite
TEST_01049,Granite
TEST_01050,Granite
TEST_01051,Granite
TEST_01052,Granite
TEST_01053,Granite
TEST_01054,Granite
TEST_01055,Granite
TEST_01056,Granite
TEST_01057,Granite
TEST_01058,Granite
TEST_01059,Granite
TEST_01060,Granite
TEST_01061,Granite
TEST_01062,Granite
TEST_01063,Granite
TEST_01064,Granite
TEST_01065,Granite
TEST_01066,Granite
TEST_01067,Granite
TEST_01068,Granite
TEST_01069,Granite
TEST_01070,Granite
TEST_01071,Granite
TEST_01072,Granite
TEST_01073,Granite
TEST_01074,Granite
TEST_01075,Granite
TEST_01076,Granite
TEST_01077,Granite
TEST_01078,Granite
TEST_01079,Granite
TEST_01080,Granite
TEST_01081,Granite
TEST_01082,Granite
TEST_01083,Granite
TEST_01084,Granite
TEST_01085,Granite
TEST_01086,Granite
TEST_01087,Granite
TEST_01088,Granite
TEST_01089,Granite
TEST_01090,Granite
TEST_01091,Granite
TEST_01092,Granite
TEST_01093,Granite
TEST_01094,Granite
TEST_01095,Granite
TEST_01096,Granite
TEST_01097,Granite
TEST_01098,Granite
TEST_01099,Granite
TEST_01100,Granite
TEST_01101,Granite
TEST_01102,Granite
TEST_01103,Granite
TEST_01104,Granite
TEST_01105,Granite
TEST_01106,Granite
TEST_01107,Granite
TEST_01108,Granite
TEST_01109,Granite
TEST_01110,Granite
TEST_01111,Granite
TEST_01112,Granite
TEST_01113,Granite
TEST_01114,Granite
TEST_01115,Granite
TEST_01116,Granite
TEST_01117,Granite
TEST_01118,Granite
TEST_01119,Gneiss
TEST_01120,Granite
TEST_01121,Granite
TEST_01122,Granite
TEST_01123,Granite
TEST_01124,Granite
TEST_01125,Granite
TEST_01126,Granite
TEST_01127,Granite
TEST_01128,Granite
TEST_01129,Granite
TEST_01130,Granite
TEST_01131,Granite
TEST_01132,Mud_Sandstone
TEST_01133,Granite
TEST_01134,Granite
TEST_01135,Granite
TEST_01136,Granite
TEST_01137,Granite
TEST_01138,Mud_Sandstone
TEST_01139,Weathered_Rock
TEST_01140,Granite
TEST_01141,Granite
TEST_01142,Granite
TEST_01143,Granite
TEST_01144,Etc
TEST_01145,Granite
TEST_01146,Granite
TEST_01147,Granite
TEST_01148,Granite
TEST_01149,Granite
TEST_01150,Granite
TEST_01151,Granite
TEST_01152,Granite
TEST_01153,Granite
TEST_01154,Granite
TEST_01155,Granite
TEST_01156,Granite
TEST_01157,Granite
TEST_01158,Mud_Sandstone
TEST_01159,Granite
TEST_01160,Etc
TEST_01161,Etc
TEST_01162,Etc
TEST_01163,Granite
TEST_01164,Etc
TEST_01165,Mud_Sandstone
TEST_01166,Granite
TEST_01167,Granite
TEST_01168,Mud_Sandstone
TEST_01169,Granite
TEST_01170,Granite
TEST_01171,Granite
TEST_01172,Granite
TEST_01173,Granite
TEST_01174,Granite
TEST_01175,Granite
TEST_01176,Granite
TEST_01177,Granite
TEST_01178,Granite
TEST_01179,Granite
TEST_01180,Granite
TEST_01181,Granite
TEST_01182,Mud_Sandstone
TEST_01183,Granite
TEST_01184,Granite
TEST_01185,Granite
TEST_01186,Granite
TEST_01187,Granite
TEST_01188,Granite
TEST_01189,Granite
TEST_01190,Granite
TEST_01191,Granite
TEST_01192,Granite
TEST_01193,Granite
TEST_01194,Granite
TEST_01195,Granite
TEST_01196,Granite
TEST_01197,Granite
TEST_01198,Granite
TEST_01199,Granite
TEST_01200,Granite
TEST_01201,Granite
TEST_01202,Granite
TEST_01203,Granite
TEST_01204,Granite
TEST_01205,Granite
TEST_01206,Granite
TEST_01207,Granite
TEST_01208,Granite
TEST_01209,Granite
TEST_01210,Granite
TEST_01211,Granite
TEST_01212,Granite
TEST_01213,Granite
TEST_01214,Granite
TEST_01215,Etc
TEST_01216,Granite
TEST_01217,Weathered_Rock
TEST_01218,Granite
TEST_01219,Granite
TEST_01220,Granite
TEST_01221,Granite
TEST_01222,Granite
TEST_01223,Granite
TEST_01224,Granite
TEST_01225,Granite
TEST_01226,Granite
TEST_01227,Gneiss
TEST_01228,Granite
TEST_01229,Granite
TEST_01230,Granite
TEST_01231,Granite
TEST_01232,Granite
TEST_01233,Granite
TEST_01234,Granite
TEST_01235,Granite
TEST_01236,Granite
TEST_01237,Granite
TEST_01238,Granite
TEST_01239,Granite
TEST_01240,Granite
TEST_01241,Granite
TEST_01242,Granite
TEST_01243,Granite
TEST_01244,Granite
